Country,Age,Gender,EdLevel,UndergradMajor,Employment,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,WorkWeekHrs,WorkRemote,MentalHealth
Germany,18,female,Secondary school,Engineering,Employed full-time,Front-end developer,12+ years,0-2 years,Slightly satisfied,Very satisfied,38,Most of the time,Poor
Other,21,male,Bachelors degree,Computer science,Not employed,Other,9-11 years,0-2 years,Very dissatisfied,Very satisfied,26,Most of the time,Poor
Netherlands,27,male,Some college,Engineering,Student,Back-end developer,6-8 years,12+ years,Slightly dissatisfied,Slightly satisfied,68,Sometimes,Good
Brazil,38,male,Masters degree,Mathematics,Self-employed,Front-end developer,0-2 years,12+ years,Slightly dissatisfied,Very dissatisfied,34,Most of the time,Fair
Canada,65,male,Masters degree,Computer science,Self-employed,Back-end developer,6-8 years,0-2 years,Very dissatisfied,Very dissatisfied,78,Sometimes,Good
Canada,30,male,Doctoral degree,Other,Employed part-time,Data scientist,0-2 years,12+ years,Slightly satisfied,Neutral,37,Full-time remote,Prefer not to say
Australia,19,male,Secondary school,Engineering,Student,Back-end developer,6-8 years,12+ years,Slightly dissatisfied,Slightly dissatisfied,68,Most of the time,Good
United Kingdom,53,male,Secondary school,Computer science,Employed full-time,Front-end developer,6-8 years,12+ years,Slightly satisfied,Neutral,23,Sometimes,Fair
India,29,female,Doctoral degree,Other,Self-employed,Full-stack developer,0-2 years,9-11 years,Very satisfied,Very satisfied,50,Most of the time,Good
Brazil,46,female,Masters degree,Mathematics,Student,Back-end developer,9-11 years,6-8 years,Neutral,Very dissatisfied,63,Full-time remote,Excellent
United States,27,male,Some college,Mathematics,Employed part-time,Data scientist,0-2 years,Not applicable,Very satisfied,Very satisfied,20,Never,Fair
Canada,42,male,Some college,Other,Self-employed,Other,12+ years,Not applicable,Neutral,Slightly satisfied,35,Rarely,Fair
Germany,54,female,Doctoral degree,Mathematics,Not employed,Front-end developer,6-8 years,6-8 years,Slightly dissatisfied,Very satisfied,27,Sometimes,Fair
India,18,male,Masters degree,Mathematics,Employed part-time,Full-stack developer,12+ years,Not applicable,Slightly dissatisfied,Slightly satisfied,60,Full-time remote,Fair
United States,48,female,Bachelors degree,Information systems,Student,Data scientist,12+ years,6-8 years,Very dissatisfied,Slightly satisfied,30,Most of the time,Excellent
Netherlands,22,male,Some college,Mathematics,Student,Full-stack developer,3-5 years,3-5 years,Slightly satisfied,Slightly dissatisfied,41,Rarely,Fair
France,57,male,Masters degree,Mathematics,Not employed,Data scientist,6-8 years,Not applicable,Very dissatisfied,Very dissatisfied,72,Full-time remote,Fair
Australia,19,male,Masters degree,Engineering,Employed full-time,Front-end developer,0-2 years,0-2 years,Very dissatisfied,Slightly dissatisfied,37,Full-time remote,Excellent
Other,40,male,Secondary school,Mathematics,Student,Data scientist,12+ years,6-8 years,Very dissatisfied,Slightly dissatisfied,63,Most of the time,Fair
Other,40,male,Some college,Mathematics,Student,Front-end developer,3-5 years,Not applicable,Slightly satisfied,Slightly dissatisfied,52,Rarely,Fair
India,42,other,Bachelors degree,Information systems,Employed part-time,Front-end developer,3-5 years,3-5 years,Very dissatisfied,Very satisfied,61,Sometimes,Good
Brazil,51,female,Some college,Other,Not employed,Full-stack developer,6-8 years,6-8 years,Neutral,Slightly dissatisfied,39,Never,Prefer not to say
United Kingdom,62,male,Masters degree,Computer science,Employed full-time,Front-end developer,0-2 years,0-2 years,Very dissatisfied,Slightly dissatisfied,44,Rarely,Excellent
Germany,19,male,Bachelors degree,Other,Employed part-time,Data scientist,0-2 years,Not applicable,Very dissatisfied,Neutral,58,Most of the time,Fair
Netherlands,22,female,Doctoral degree,Engineering,Employed full-time,Full-stack developer,12+ years,0-2 years,Neutral,Neutral,31,Never,Excellent
United States,26,male,Doctoral degree,Information systems,Employed full-time,Full-stack developer,3-5 years,Not applicable,Slightly dissatisfied,Slightly dissatisfied,52,Never,Excellent
United Kingdom,49,male,Doctoral degree,Other,Employed part-time,Other,12+ years,6-8 years,Slightly satisfied,Very dissatisfied,21,Full-time remote,Fair
India,19,female,Secondary school,Mathematics,Not employed,Back-end developer,9-11 years,6-8 years,Very satisfied,Neutral,53,Most of the time,Good
Germany,56,male,Bachelors degree,Information systems,Employed full-time,Full-stack developer,3-5 years,Not applicable,Neutral,Very dissatisfied,58,Sometimes,Fair
Other,60,male,Masters degree,Other,Employed part-time,Front-end developer,12+ years,Not applicable,Slightly dissatisfied,Neutral,66,Sometimes,Poor
Australia,41,female,Masters degree,Computer science,Student,Back-end developer,12+ years,Not applicable,Slightly dissatisfied,Slightly satisfied,41,Full-time remote,Excellent
United States,49,male,Secondary school,Mathematics,Student,Full-stack developer,0-2 years,0-2 years,Neutral,Neutral,31,Rarely,Excellent
Germany,49,male,Masters degree,Engineering,Student,Data scientist,12+ years,9-11 years,Neutral,Neutral,49,Full-time remote,Good
Other,33,male,Bachelors degree,Other,Self-employed,Data scientist,3-5 years,9-11 years,Very dissatisfied,Slightly satisfied,34,Full-time remote,Excellent
United States,39,other,Some college,Information systems,Employed full-time,Back-end developer,0-2 years,12+ years,Very satisfied,Slightly dissatisfied,32,Rarely,Good
France,29,male,Secondary school,Mathematics,Self-employed,Data scientist,9-11 years,6-8 years,Very satisfied,Slightly dissatisfied,45,Full-time remote,Good
Germany,33,other,Doctoral degree,Mathematics,Self-employed,Front-end developer,12+ years,9-11 years,Slightly satisfied,Neutral,74,Sometimes,Excellent
France,57,male,Doctoral degree,Mathematics,Student,Full-stack developer,3-5 years,9-11 years,Slightly satisfied,Neutral,36,Rarely,Fair
Netherlands,18,male,Some college,Other,Employed full-time,Data scientist,3-5 years,3-5 years,Neutral,Very dissatisfied,47,Never,Excellent
Spain,48,female,Masters degree,Information systems,Employed full-time,Full-stack developer,9-11 years,12+ years,Slightly satisfied,Slightly dissatisfied,69,Most of the time,Good
Netherlands,19,male,Masters degree,Engineering,Employed part-time,Data scientist,0-2 years,9-11 years,Very dissatisfied,Neutral,27,Never,Good
Canada,61,male,Doctoral degree,Engineering,Student,Front-end developer,6-8 years,0-2 years,Slightly satisfied,Very dissatisfied,62,Full-time remote,Good
France,58,female,Bachelors degree,Mathematics,Student,Full-stack developer,3-5 years,9-11 years,Very dissatisfied,Slightly satisfied,31,Sometimes,Fair
Brazil,48,male,Secondary school,Information systems,Employed part-time,Other,0-2 years,0-2 years,Neutral,Slightly satisfied,35,Never,Good
Canada,45,male,Secondary school,Information systems,Self-employed,Front-end developer,12+ years,0-2 years,Slightly satisfied,Slightly dissatisfied,47,Sometimes,Fair
Other,36,female,Bachelors degree,Mathematics,Employed part-time,Full-stack developer,9-11 years,3-5 years,Very dissatisfied,Neutral,46,Rarely,Fair
Netherlands,56,female,Secondary school,Computer science,Not employed,Data scientist,6-8 years,0-2 years,Very dissatisfied,Very dissatisfied,53,Full-time remote,Good
Germany,60,male,Doctoral degree,Other,Not employed,Front-end developer,12+ years,Not applicable,Very satisfied,Neutral,45,Never,Good
France,55,male,Masters degree,Information systems,Employed full-time,Full-stack developer,0-2 years,Not applicable,Very dissatisfied,Slightly dissatisfied,69,Rarely,Fair
Germany,34,male,Bachelors degree,Mathematics,Employed full-time,Front-end developer,12+ years,6-8 years,Very satisfied,Neutral,57,Most of the time,Poor
United States,26,male,Doctoral degree,Other,Student,Data scientist,3-5 years,3-5 years,Neutral,Very satisfied,55,Full-time remote,Excellent
United Kingdom,30,male,Doctoral degree,Mathematics,Self-employed,Back-end developer,6-8 years,9-11 years,Very dissatisfied,Very satisfied,29,Most of the time,Fair
United Kingdom,65,other,Bachelors degree,Computer science,Employed full-time,Front-end developer,12+ years,0-2 years,Very dissatisfied,Slightly satisfied,50,Never,Fair
Spain,21,male,Doctoral degree,Information systems,Student,Data scientist,3-5 years,6-8 years,Slightly dissatisfied,Slightly dissatisfied,23,Sometimes,Good
United States,58,male,Masters degree,Other,Student,Full-stack developer,3-5 years,0-2 years,Slightly satisfied,Very satisfied,54,Full-time remote,Good
Other,42,female,Masters degree,Information systems,Student,Back-end developer,3-5 years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,26,Sometimes,Excellent
Spain,49,male,Masters degree,Computer science,Not employed,Data scientist,12+ years,Not applicable,Neutral,Very satisfied,63,Never,Fair
France,44,female,Secondary school,Other,Self-employed,Other,6-8 years,9-11 years,Slightly satisfied,Slightly satisfied,45,Most of the time,Poor
Canada,35,female,Bachelors degree,Information systems,Not employed,Other,12+ years,Not applicable,Slightly satisfied,Slightly dissatisfied,44,Full-time remote,Good
United States,46,other,Bachelors degree,Computer science,Student,Back-end developer,6-8 years,9-11 years,Very satisfied,Neutral,26,Most of the time,Good
India,42,female,Some college,Engineering,Self-employed,Front-end developer,6-8 years,3-5 years,Very satisfied,Very satisfied,22,Full-time remote,Good
Spain,20,male,Masters degree,Mathematics,Self-employed,Full-stack developer,3-5 years,12+ years,Neutral,Slightly satisfied,37,Sometimes,Poor
United States,53,male,Doctoral degree,Computer science,Not employed,Full-stack developer,3-5 years,3-5 years,Neutral,Neutral,76,Most of the time,Excellent
Germany,58,male,Some college,Engineering,Employed full-time,Data scientist,6-8 years,9-11 years,Slightly satisfied,Slightly dissatisfied,48,Never,Fair
United States,62,female,Secondary school,Information systems,Employed full-time,Front-end developer,6-8 years,6-8 years,Slightly satisfied,Very dissatisfied,47,Full-time remote,Good
India,25,female,Bachelors degree,Mathematics,Employed full-time,Back-end developer,12+ years,Not applicable,Neutral,Very dissatisfied,49,Full-time remote,Prefer not to say
United Kingdom,18,male,Masters degree,Engineering,Employed part-time,Other,12+ years,0-2 years,Slightly satisfied,Very satisfied,70,Sometimes,Poor
France,39,male,Some college,Mathematics,Not employed,Full-stack developer,6-8 years,6-8 years,Very dissatisfied,Slightly satisfied,63,Never,Poor
India,28,female,Doctoral degree,Mathematics,Not employed,Front-end developer,0-2 years,12+ years,Slightly dissatisfied,Slightly satisfied,47,Most of the time,Prefer not to say
Other,51,female,Bachelors degree,Engineering,Employed full-time,Data scientist,0-2 years,6-8 years,Slightly satisfied,Neutral,36,Most of the time,Fair
Australia,20,male,Some college,Other,Employed full-time,Full-stack developer,3-5 years,9-11 years,Slightly satisfied,Very dissatisfied,60,Never,Prefer not to say
Australia,23,male,Some college,Other,Not employed,Full-stack developer,12+ years,12+ years,Slightly satisfied,Very dissatisfied,51,Most of the time,Good
Germany,21,female,Masters degree,Information systems,Self-employed,Full-stack developer,3-5 years,Not applicable,Neutral,Very dissatisfied,26,Never,Good
France,38,male,Bachelors degree,Engineering,Employed full-time,Front-end developer,3-5 years,3-5 years,Slightly satisfied,Very satisfied,38,Full-time remote,Good
Brazil,39,male,Secondary school,Computer science,Employed part-time,Other,6-8 years,3-5 years,Slightly satisfied,Neutral,23,Sometimes,Good
Other,36,male,Doctoral degree,Other,Self-employed,Full-stack developer,3-5 years,12+ years,Very satisfied,Slightly dissatisfied,22,Most of the time,Poor
Canada,35,male,Some college,Mathematics,Employed full-time,Data scientist,12+ years,6-8 years,Slightly satisfied,Neutral,73,Rarely,Prefer not to say
India,56,female,Doctoral degree,Computer science,Not employed,Back-end developer,9-11 years,9-11 years,Slightly satisfied,Slightly satisfied,73,Sometimes,Good
Netherlands,23,male,Secondary school,Computer science,Student,Data scientist,6-8 years,6-8 years,Slightly satisfied,Very satisfied,25,Full-time remote,Fair
Netherlands,55,male,Masters degree,Other,Student,Back-end developer,12+ years,9-11 years,Very dissatisfied,Very satisfied,37,Never,Good
Germany,45,male,Secondary school,Computer science,Student,Other,6-8 years,3-5 years,Very satisfied,Slightly satisfied,72,Sometimes,Excellent
Netherlands,65,male,Secondary school,Information systems,Employed part-time,Back-end developer,9-11 years,12+ years,Very dissatisfied,Slightly satisfied,55,Most of the time,Good
Canada,45,male,Doctoral degree,Mathematics,Employed part-time,Back-end developer,12+ years,12+ years,Very dissatisfied,Neutral,63,Rarely,Excellent
United States,62,male,Some college,Computer science,Employed full-time,Full-stack developer,9-11 years,0-2 years,Neutral,Slightly satisfied,45,Full-time remote,Fair
Canada,24,female,Bachelors degree,Other,Employed part-time,Full-stack developer,9-11 years,3-5 years,Slightly satisfied,Very dissatisfied,22,Never,Good
India,37,female,Doctoral degree,Information systems,Student,Back-end developer,6-8 years,0-2 years,Very dissatisfied,Very dissatisfied,49,Never,Excellent
France,62,male,Secondary school,Engineering,Not employed,Data scientist,3-5 years,9-11 years,Very satisfied,Neutral,73,Full-time remote,Good
India,36,male,Secondary school,Mathematics,Employed part-time,Data scientist,9-11 years,9-11 years,Very satisfied,Very satisfied,36,Most of the time,Fair
France,38,male,Masters degree,Computer science,Employed part-time,Front-end developer,12+ years,9-11 years,Very dissatisfied,Slightly dissatisfied,21,Full-time remote,Good
Germany,33,male,Some college,Mathematics,Self-employed,Front-end developer,0-2 years,6-8 years,Slightly dissatisfied,Very satisfied,32,Full-time remote,Fair
Spain,65,female,Doctoral degree,Computer science,Not employed,Full-stack developer,6-8 years,9-11 years,Slightly satisfied,Neutral,57,Full-time remote,Fair
Brazil,31,male,Doctoral degree,Information systems,Not employed,Front-end developer,0-2 years,3-5 years,Neutral,Neutral,58,Most of the time,Good
Germany,19,male,Masters degree,Mathematics,Self-employed,Full-stack developer,6-8 years,12+ years,Slightly satisfied,Slightly dissatisfied,75,Most of the time,Good
Australia,29,female,Some college,Engineering,Student,Data scientist,12+ years,3-5 years,Very satisfied,Neutral,22,Never,Good
France,36,female,Some college,Other,Employed full-time,Full-stack developer,9-11 years,6-8 years,Slightly dissatisfied,Very satisfied,36,Never,Good
France,54,male,Bachelors degree,Engineering,Employed full-time,Front-end developer,3-5 years,3-5 years,Slightly dissatisfied,Neutral,49,Full-time remote,Poor
France,55,male,Masters degree,Engineering,Employed part-time,Data scientist,12+ years,9-11 years,Very dissatisfied,Slightly dissatisfied,42,Rarely,Poor
Other,61,female,Doctoral degree,Other,Self-employed,Other,6-8 years,0-2 years,Slightly dissatisfied,Slightly satisfied,76,Never,Good
India,54,male,Some college,Computer science,Employed full-time,Back-end developer,12+ years,9-11 years,Slightly dissatisfied,Very dissatisfied,21,Never,Fair
France,33,male,Secondary school,Information systems,Self-employed,Front-end developer,9-11 years,Not applicable,Very dissatisfied,Very dissatisfied,72,Sometimes,Excellent
Netherlands,54,male,Bachelors degree,Engineering,Self-employed,Back-end developer,12+ years,3-5 years,Neutral,Neutral,58,Most of the time,Good
Spain,33,male,Some college,Computer science,Student,Front-end developer,0-2 years,Not applicable,Slightly satisfied,Slightly dissatisfied,41,Never,Fair
United States,40,male,Doctoral degree,Other,Self-employed,Full-stack developer,6-8 years,3-5 years,Slightly satisfied,Slightly satisfied,65,Never,Good
Germany,29,male,Some college,Mathematics,Employed part-time,Other,9-11 years,9-11 years,Slightly dissatisfied,Neutral,62,Never,Good
United States,65,male,Some college,Information systems,Employed part-time,Data scientist,9-11 years,6-8 years,Slightly satisfied,Slightly satisfied,27,Never,Prefer not to say
United States,23,male,Masters degree,Mathematics,Not employed,Front-end developer,12+ years,Not applicable,Slightly satisfied,Slightly satisfied,69,Rarely,Fair
United Kingdom,49,other,Masters degree,Information systems,Employed part-time,Full-stack developer,3-5 years,12+ years,Slightly dissatisfied,Slightly dissatisfied,29,Never,Excellent
United States,55,other,Masters degree,Mathematics,Not employed,Back-end developer,3-5 years,9-11 years,Neutral,Very satisfied,42,Full-time remote,Good
Brazil,39,male,Bachelors degree,Other,Not employed,Front-end developer,6-8 years,12+ years,Very satisfied,Neutral,63,Never,Good
India,32,male,Bachelors degree,Engineering,Employed part-time,Other,9-11 years,12+ years,Very satisfied,Neutral,50,Sometimes,Excellent
Spain,18,male,Secondary school,Engineering,Employed full-time,Other,6-8 years,12+ years,Very satisfied,Slightly dissatisfied,63,Most of the time,Excellent
Canada,29,male,Secondary school,Mathematics,Student,Full-stack developer,9-11 years,0-2 years,Slightly satisfied,Neutral,40,Rarely,Fair
United States,51,male,Bachelors degree,Mathematics,Employed part-time,Front-end developer,0-2 years,6-8 years,Very satisfied,Very dissatisfied,43,Sometimes,Good
Netherlands,19,male,Bachelors degree,Engineering,Employed part-time,Data scientist,12+ years,6-8 years,Very dissatisfied,Very dissatisfied,56,Most of the time,Fair
Australia,49,male,Masters degree,Mathematics,Student,Data scientist,6-8 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,51,Never,Good
Spain,47,male,Secondary school,Mathematics,Student,Back-end developer,9-11 years,9-11 years,Very satisfied,Very dissatisfied,36,Rarely,Excellent
Canada,64,female,Bachelors degree,Computer science,Student,Full-stack developer,6-8 years,12+ years,Neutral,Slightly dissatisfied,48,Most of the time,Prefer not to say
Brazil,43,male,Doctoral degree,Computer science,Not employed,Front-end developer,12+ years,Not applicable,Very satisfied,Neutral,32,Most of the time,Poor
Spain,37,female,Some college,Other,Not employed,Data scientist,6-8 years,12+ years,Very satisfied,Very satisfied,70,Sometimes,Excellent
Australia,55,female,Bachelors degree,Engineering,Not employed,Full-stack developer,3-5 years,Not applicable,Very dissatisfied,Neutral,25,Full-time remote,Excellent
India,33,male,Masters degree,Computer science,Student,Data scientist,12+ years,3-5 years,Slightly dissatisfied,Very satisfied,44,Sometimes,Poor
India,24,male,Secondary school,Computer science,Not employed,Data scientist,3-5 years,Not applicable,Slightly satisfied,Slightly satisfied,26,Sometimes,Fair
Spain,65,other,Some college,Mathematics,Self-employed,Data scientist,3-5 years,12+ years,Very dissatisfied,Neutral,22,Most of the time,Excellent
Netherlands,47,male,Doctoral degree,Other,Student,Back-end developer,0-2 years,3-5 years,Very satisfied,Very dissatisfied,36,Most of the time,Poor
Australia,21,female,Some college,Engineering,Employed full-time,Other,6-8 years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,49,Rarely,Fair
Germany,47,male,Bachelors degree,Information systems,Not employed,Other,9-11 years,12+ years,Slightly dissatisfied,Slightly satisfied,80,Rarely,Good
Germany,37,male,Masters degree,Mathematics,Student,Back-end developer,0-2 years,6-8 years,Very dissatisfied,Slightly satisfied,79,Full-time remote,Fair
United States,52,male,Some college,Mathematics,Employed full-time,Front-end developer,0-2 years,3-5 years,Slightly satisfied,Slightly dissatisfied,70,Rarely,Fair
India,57,male,Secondary school,Mathematics,Employed full-time,Front-end developer,6-8 years,3-5 years,Slightly satisfied,Very satisfied,49,Never,Fair
Brazil,43,female,Masters degree,Information systems,Employed part-time,Full-stack developer,9-11 years,9-11 years,Slightly dissatisfied,Slightly satisfied,78,Full-time remote,Poor
Other,41,male,Bachelors degree,Mathematics,Employed full-time,Back-end developer,12+ years,Not applicable,Very satisfied,Slightly dissatisfied,34,Full-time remote,Poor
France,47,male,Bachelors degree,Other,Student,Back-end developer,3-5 years,3-5 years,Slightly dissatisfied,Very satisfied,70,Rarely,Excellent
Germany,52,female,Masters degree,Mathematics,Not employed,Data scientist,0-2 years,6-8 years,Slightly satisfied,Very dissatisfied,62,Sometimes,Excellent
France,42,male,Secondary school,Information systems,Student,Back-end developer,3-5 years,12+ years,Very satisfied,Very satisfied,78,Most of the time,Good
Australia,58,other,Bachelors degree,Other,Self-employed,Data scientist,12+ years,Not applicable,Very dissatisfied,Very satisfied,75,Most of the time,Good
Germany,43,female,Doctoral degree,Other,Student,Front-end developer,12+ years,9-11 years,Slightly dissatisfied,Slightly satisfied,78,Rarely,Good
United Kingdom,57,male,Bachelors degree,Mathematics,Student,Other,12+ years,Not applicable,Neutral,Very satisfied,63,Rarely,Excellent
Other,55,male,Secondary school,Engineering,Employed part-time,Full-stack developer,0-2 years,Not applicable,Very satisfied,Slightly dissatisfied,33,Sometimes,Fair
India,39,female,Some college,Computer science,Employed full-time,Front-end developer,12+ years,12+ years,Slightly satisfied,Very dissatisfied,27,Most of the time,Fair
United States,22,male,Secondary school,Other,Employed part-time,Data scientist,9-11 years,Not applicable,Neutral,Very satisfied,26,Full-time remote,Good
Australia,19,male,Doctoral degree,Mathematics,Not employed,Full-stack developer,3-5 years,6-8 years,Slightly satisfied,Slightly satisfied,26,Full-time remote,Good
France,39,female,Secondary school,Mathematics,Not employed,Front-end developer,0-2 years,Not applicable,Slightly satisfied,Very dissatisfied,27,Never,Good
Brazil,65,other,Some college,Other,Student,Other,9-11 years,0-2 years,Neutral,Very satisfied,55,Full-time remote,Prefer not to say
Australia,55,other,Doctoral degree,Computer science,Employed full-time,Front-end developer,9-11 years,0-2 years,Slightly satisfied,Very dissatisfied,57,Rarely,Good
India,39,male,Secondary school,Mathematics,Not employed,Back-end developer,0-2 years,0-2 years,Slightly dissatisfied,Neutral,55,Never,Excellent
Brazil,52,female,Some college,Mathematics,Not employed,Back-end developer,9-11 years,9-11 years,Neutral,Slightly satisfied,23,Sometimes,Good
Brazil,27,male,Doctoral degree,Computer science,Not employed,Back-end developer,9-11 years,6-8 years,Neutral,Very satisfied,33,Full-time remote,Fair
France,30,female,Some college,Engineering,Not employed,Full-stack developer,3-5 years,3-5 years,Very satisfied,Neutral,32,Most of the time,Good
Spain,56,male,Doctoral degree,Information systems,Employed part-time,Other,0-2 years,9-11 years,Neutral,Neutral,50,Most of the time,Excellent
France,53,male,Masters degree,Other,Employed part-time,Other,6-8 years,0-2 years,Neutral,Slightly dissatisfied,45,Most of the time,Good
Germany,27,male,Some college,Engineering,Employed full-time,Other,0-2 years,6-8 years,Slightly satisfied,Neutral,52,Full-time remote,Excellent
France,56,male,Some college,Information systems,Employed part-time,Other,12+ years,12+ years,Very dissatisfied,Slightly dissatisfied,32,Full-time remote,Good
United Kingdom,24,female,Bachelors degree,Engineering,Student,Front-end developer,0-2 years,6-8 years,Very dissatisfied,Very dissatisfied,24,Never,Good
Germany,25,male,Masters degree,Computer science,Not employed,Data scientist,3-5 years,Not applicable,Very satisfied,Slightly dissatisfied,32,Sometimes,Fair
Germany,52,female,Doctoral degree,Mathematics,Employed full-time,Full-stack developer,12+ years,Not applicable,Very satisfied,Very dissatisfied,66,Rarely,Good
Germany,25,male,Doctoral degree,Mathematics,Employed full-time,Other,6-8 years,Not applicable,Neutral,Very dissatisfied,36,Most of the time,Good
United States,18,male,Secondary school,Information systems,Employed part-time,Other,0-2 years,Not applicable,Slightly dissatisfied,Very dissatisfied,58,Never,Fair
Netherlands,63,male,Secondary school,Other,Student,Full-stack developer,12+ years,0-2 years,Slightly dissatisfied,Very dissatisfied,73,Full-time remote,Excellent
United Kingdom,61,male,Doctoral degree,Engineering,Self-employed,Full-stack developer,3-5 years,9-11 years,Very satisfied,Very satisfied,32,Sometimes,Fair
United States,53,male,Bachelors degree,Mathematics,Not employed,Other,0-2 years,Not applicable,Slightly dissatisfied,Slightly satisfied,20,Rarely,Poor
India,56,other,Some college,Other,Employed part-time,Back-end developer,9-11 years,3-5 years,Very dissatisfied,Slightly dissatisfied,42,Most of the time,Prefer not to say
United Kingdom,32,male,Bachelors degree,Information systems,Student,Data scientist,3-5 years,9-11 years,Slightly dissatisfied,Very satisfied,59,Sometimes,Poor
United Kingdom,26,male,Doctoral degree,Engineering,Student,Front-end developer,6-8 years,3-5 years,Very dissatisfied,Very dissatisfied,59,Rarely,Good
France,37,female,Doctoral degree,Mathematics,Employed full-time,Front-end developer,0-2 years,3-5 years,Slightly dissatisfied,Slightly satisfied,45,Most of the time,Fair
Australia,29,female,Secondary school,Computer science,Self-employed,Full-stack developer,6-8 years,3-5 years,Very dissatisfied,Slightly satisfied,74,Never,Fair
Other,19,male,Masters degree,Computer science,Employed part-time,Data scientist,3-5 years,0-2 years,Slightly dissatisfied,Slightly satisfied,68,Full-time remote,Good
United Kingdom,18,male,Doctoral degree,Computer science,Employed part-time,Back-end developer,0-2 years,0-2 years,Slightly satisfied,Very satisfied,74,Rarely,Fair
United States,26,male,Secondary school,Engineering,Self-employed,Data scientist,3-5 years,9-11 years,Slightly dissatisfied,Very satisfied,49,Full-time remote,Fair
United Kingdom,45,male,Masters degree,Computer science,Employed part-time,Full-stack developer,0-2 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,20,Full-time remote,Fair
Canada,41,male,Some college,Mathematics,Student,Back-end developer,12+ years,12+ years,Very dissatisfied,Neutral,46,Most of the time,Good
Germany,64,male,Bachelors degree,Engineering,Employed part-time,Full-stack developer,9-11 years,12+ years,Neutral,Slightly satisfied,53,Full-time remote,Excellent
United States,33,male,Doctoral degree,Information systems,Employed full-time,Back-end developer,3-5 years,0-2 years,Neutral,Very satisfied,44,Rarely,Good
Netherlands,26,male,Bachelors degree,Computer science,Employed full-time,Full-stack developer,9-11 years,9-11 years,Neutral,Very dissatisfied,42,Full-time remote,Good
Spain,19,male,Bachelors degree,Information systems,Self-employed,Back-end developer,9-11 years,Not applicable,Very dissatisfied,Very satisfied,67,Rarely,Excellent
Netherlands,60,male,Some college,Engineering,Employed full-time,Full-stack developer,0-2 years,12+ years,Very dissatisfied,Slightly satisfied,79,Rarely,Fair
Spain,26,male,Bachelors degree,Other,Not employed,Back-end developer,0-2 years,6-8 years,Neutral,Slightly satisfied,35,Full-time remote,Good
India,28,male,Masters degree,Mathematics,Self-employed,Data scientist,3-5 years,9-11 years,Slightly dissatisfied,Neutral,37,Never,Good
United States,59,male,Doctoral degree,Computer science,Not employed,Other,0-2 years,Not applicable,Slightly dissatisfied,Very satisfied,20,Rarely,Excellent
Netherlands,59,male,Some college,Mathematics,Student,Full-stack developer,6-8 years,Not applicable,Slightly satisfied,Neutral,41,Sometimes,Good
Netherlands,34,female,Some college,Other,Self-employed,Data scientist,0-2 years,6-8 years,Neutral,Slightly satisfied,48,Never,Good
United States,35,female,Doctoral degree,Other,Not employed,Other,12+ years,12+ years,Slightly satisfied,Very dissatisfied,59,Most of the time,Poor
Australia,44,male,Masters degree,Information systems,Self-employed,Full-stack developer,0-2 years,Not applicable,Very dissatisfied,Neutral,54,Sometimes,Good
Germany,18,male,Masters degree,Other,Employed part-time,Back-end developer,12+ years,6-8 years,Very satisfied,Very dissatisfied,73,Sometimes,Fair
Netherlands,49,male,Some college,Engineering,Self-employed,Front-end developer,3-5 years,Not applicable,Slightly satisfied,Very dissatisfied,72,Rarely,Excellent
Canada,55,other,Some college,Information systems,Not employed,Full-stack developer,0-2 years,12+ years,Neutral,Very satisfied,63,Rarely,Fair
Spain,25,male,Some college,Information systems,Not employed,Back-end developer,6-8 years,Not applicable,Very satisfied,Slightly dissatisfied,26,Rarely,Poor
Canada,65,male,Some college,Mathematics,Employed part-time,Front-end developer,6-8 years,9-11 years,Neutral,Very dissatisfied,34,Most of the time,Fair
Germany,32,male,Secondary school,Engineering,Employed full-time,Front-end developer,9-11 years,12+ years,Very satisfied,Neutral,77,Never,Prefer not to say
Spain,46,male,Doctoral degree,Information systems,Employed full-time,Other,3-5 years,6-8 years,Very dissatisfied,Very dissatisfied,56,Never,Good
United States,39,other,Masters degree,Computer science,Not employed,Back-end developer,9-11 years,Not applicable,Very dissatisfied,Neutral,21,Full-time remote,Fair
United States,45,other,Doctoral degree,Computer science,Student,Data scientist,0-2 years,0-2 years,Slightly satisfied,Slightly dissatisfied,25,Most of the time,Excellent
Other,58,male,Bachelors degree,Other,Student,Other,12+ years,0-2 years,Very satisfied,Very dissatisfied,21,Sometimes,Good
United Kingdom,29,female,Doctoral degree,Mathematics,Student,Data scientist,0-2 years,6-8 years,Slightly satisfied,Very dissatisfied,74,Full-time remote,Good
India,23,male,Some college,Information systems,Not employed,Data scientist,3-5 years,9-11 years,Very satisfied,Slightly dissatisfied,45,Rarely,Excellent
India,34,other,Secondary school,Other,Employed part-time,Front-end developer,12+ years,12+ years,Slightly satisfied,Slightly dissatisfied,20,Full-time remote,Excellent
Australia,49,female,Doctoral degree,Information systems,Employed part-time,Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Slightly dissatisfied,28,Most of the time,Good
